Stoppages,loc,distance,orig dist
Home,"22.6085692,88.4382332",0,0
Chinarpark,"22.6244838,88.4368247",1.77551863673451,2.5
Mathkal Bus stop,"22.651884, 88.402380",6.06119766767606,10.4
Ganga river,"22.6549087,88.355342",9.94612078203949,18
Bally,"22.6474308,88.3220165",12.6865593658977,21
Baigachi,"22.662236, 88.305411",14.8804976292793,22
Kalipur more,"22.6820323,88.2764323",18.504981959117,25.4
Chanditala,"22.689562, 88.264208",20.0007603255984,27
Jangalpara,"22.732345, 88.205544",27.5577713986016,35
Mosat,"22.736946, 88.192235",28.9969483530466,36.5
Banipur,"22.734683, 88.164267",31.4134512846228,39.5
Aniya,"22.7292756, 88.1451504",32.9310671780088,41.7
